Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,28.000000,32.200001,27.500000,30.500000,21.012384,22443349
2011-01-31,30.000000,30.379999,27.924999,28.200001,19.427847,15079318
2011-02-07,28.340000,30.365000,28.100000,30.080000,20.723028,7121308
2011-02-14,30.540001,31.500000,30.325001,31.295000,21.560087,3534346
2011-02-21,31.190001,31.190001,29.920000,30.770000,21.198399,1871591
2011-02-28,30.799999,30.799999,29.650000,29.850000,20.564577,2315913
2011-03-07,29.750000,29.950001,27.490000,27.745001,19.114380,2765962
2011-03-14,27.504999,28.190001,26.190001,27.635000,19.163582,2961433
2011-03-21,28.150000,28.725000,27.219999,27.475000,19.052622,2801859
2011-03-28,27.395000,29.100000,27.254999,28.980000,20.096273,2131947
2011-04-04,29.065001,29.565001,28.639999,28.924999,20.058140,1635637
2011-04-11,29.049999,29.174999,27.250000,27.360001,18.972883,1860798
2011-04-18,27.434999,27.715000,26.610001,27.440001,19.028357,1315488
2011-04-25,27.440001,28.665001,27.084999,28.424999,19.711407,1067251
2011-05-02,28.520000,28.775000,27.230000,28.309999,19.631659,2165374
2011-05-09,28.200001,28.809999,27.650000,27.900000,19.347340,2189934
2011-05-16,27.820000,27.820000,26.629999,26.750000,18.549873,2212789
2011-05-23,26.549999,26.549999,24.934999,25.290001,17.659023,2833922
2011-05-30,25.305000,25.725000,24.350000,24.469999,17.086451,1956613
2011-06-06,24.440001,24.750000,23.665001,23.754999,16.587198,2136245
2011-06-13,23.695000,23.799999,21.725000,22.270000,15.550278,3293560
2011-06-20,22.115000,22.200001,21.110001,21.275000,14.855509,2584042
2011-06-27,21.209999,23.205000,20.750000,23.205000,16.203156,3064819
2011-07-04,23.264999,23.389999,21.805000,22.885000,15.979705,2087247
2011-07-11,22.700001,22.820000,21.615000,21.780001,15.208133,2412240
2011-07-18,21.590000,21.695000,19.030001,20.004999,13.968717,3187288
2011-07-25,19.945000,20.735001,18.709999,19.430000,13.567216,2794901
2011-08-01,19.700001,20.000000,14.040000,14.525000,10.142244,5329716
2011-08-08,14.190000,14.750000,11.300000,13.410000,9.363685,7146868
2011-08-15,13.870000,14.040000,11.000000,11.320000,7.904317,3706450
2011-08-22,11.170000,11.950000,10.740000,11.305000,8.016243,4967127
2011-08-29,11.540000,12.910000,11.290000,11.975000,8.491329,3529040
2011-09-05,11.610000,11.695000,10.800000,10.925000,7.746788,4469018
2011-09-12,10.490000,11.410000,9.710000,11.290000,8.005607,4531309
2011-09-19,11.120000,11.150000,9.410000,10.350000,7.339064,3306246
2011-09-26,10.040000,12.120000,10.000000,10.980000,7.785787,4275648
2011-10-03,10.500000,11.360000,10.050000,10.905000,7.732606,3740330
