Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.540000,10.920000,10.100000,10.820000,6.671975,1163195
2000-01-10,10.920000,11.250000,10.710000,10.920000,6.733639,987785
2000-01-17,10.780000,11.000000,10.200000,10.300000,6.351327,1392315
2000-01-24,10.400000,10.570000,10.110000,10.110000,6.234165,1707475
2000-01-31,10.100000,10.200000,9.620000,10.170000,6.271164,1496110
2000-02-07,10.020000,10.200000,8.520000,9.000000,5.549703,1446590
2000-02-14,9.300000,9.898000,9.172000,9.172000,5.655763,1855720
2000-02-21,9.180000,9.320000,8.042000,8.640000,5.327713,1150690
2000-02-28,8.596000,8.700000,8.100000,8.252000,5.088460,1020645
2000-03-06,8.398000,8.398000,7.800000,7.800000,4.809742,843770
2000-03-13,7.530000,9.800000,7.400000,8.680000,5.352380,1921775
2000-03-20,9.180000,9.600000,8.404000,9.400000,5.796356,1272560
2000-03-27,9.402000,9.480000,8.600000,9.148000,5.640964,553370
2000-04-03,9.390000,9.390000,8.382000,8.430000,5.198222,818035
2000-04-10,8.400000,9.300000,8.320000,8.500000,5.241386,559095
2000-04-17,8.500000,8.742000,8.000000,8.360000,5.155056,711750
2000-04-24,8.470000,8.600000,8.330000,8.498000,5.240153,327330
2000-05-01,8.598000,8.740000,8.410000,8.560000,5.278384,648005
2000-05-08,8.410000,8.560000,8.160000,8.500000,5.241386,499850
2000-05-15,8.550000,9.052000,8.300000,8.620000,5.315382,633655
2000-05-22,8.790000,8.920000,8.500000,8.500000,5.241386,893975
2000-05-29,8.600000,8.780000,8.300000,8.300000,5.118059,304850
2000-06-05,8.370000,8.400000,8.110000,8.388000,5.172322,468735
2000-06-12,8.388000,8.400000,8.100000,8.100000,4.994732,504555
2000-06-19,8.240000,8.400000,8.100000,8.200000,5.056394,524305
2000-06-26,8.220000,8.900000,8.000000,8.876000,5.473241,733010
2000-07-03,8.810000,8.900000,8.600000,8.630000,5.321548,415520
2000-07-10,8.880000,9.000000,8.630000,8.716000,5.374577,428650
2000-07-17,8.798000,8.856000,8.200000,8.304000,5.120525,860245
2000-07-24,8.260000,8.800000,8.120000,8.750000,5.395544,415725
2000-07-31,8.750000,9.000000,8.600000,9.000000,5.549703,546695
2000-08-07,9.000000,9.190000,8.702000,8.800000,5.426375,378375
2000-08-14,8.880000,8.916000,8.610000,8.700000,5.364713,458175
2000-08-21,8.740000,8.900000,8.500000,8.900000,5.488039,337575
2000-08-28,8.900000,8.990000,8.800000,8.960000,5.525037,504110
2000-09-04,8.980000,9.200000,8.802000,9.090000,5.605199,757330
2000-09-11,9.160000,9.160000,8.906000,8.920000,5.500371,831950
2000-09-18,8.916000,9.160000,8.702000,8.880000,5.475707,815630
2000-09-25,8.890000,9.180000,8.800000,9.180000,5.660696,527135
2000-10-02,8.930000,9.200000,8.860000,8.950000,5.518870,557355
2000-10-09,9.000000,9.080000,8.762000,9.080000,5.599033,769465
2000-10-16,8.870000,9.152000,8.610000,9.100000,5.704052,477665
2000-10-23,9.002000,9.200000,8.680000,8.920000,5.591224,614660
2000-10-30,9.070000,9.200000,8.880000,9.200000,5.766733,375145
2000-11-06,9.200000,9.440000,9.090000,9.440000,5.917170,683230
2000-11-13,9.400000,9.676000,9.200000,9.460000,5.929707,353350
2000-11-20,9.500000,9.660000,9.120000,9.422000,5.905888,270105
2000-11-27,9.432000,9.600000,8.810000,9.250000,5.798075,726770
2000-12-04,9.380000,9.598000,9.020000,9.246000,5.795569,555280
2000-12-11,9.160000,9.700000,9.100000,9.368000,5.872038,1028170
2000-12-18,9.400000,9.478000,9.000000,9.200000,5.766733,277920
2000-12-25,9.200000,9.400000,8.920000,9.400000,5.892097,100860
2001-01-01,9.200000,9.578000,9.002000,9.420000,5.904634,241890
2001-01-08,9.320000,9.500000,9.002000,9.396000,5.889590,418790
2001-01-15,9.390000,9.578000,9.042000,9.500000,5.954780,501435
2001-01-22,9.490000,9.796000,9.410000,9.700000,6.080143,346495
2001-01-29,9.550000,9.960000,9.380000,9.800000,6.142826,1505680
2001-02-05,9.600000,9.840000,9.460000,9.586000,6.008686,618785
2001-02-12,9.530000,9.690000,9.300000,9.510000,5.961047,655805
2001-02-19,9.500000,9.800000,9.450000,9.600000,6.017461,669815
2001-02-26,9.474000,9.778000,9.442000,9.770000,6.124019,325330
2001-03-05,9.740000,9.760000,9.600000,9.730000,6.098948,504085
2001-03-12,9.728000,9.770000,7.864000,8.200000,5.139914,1223035
2001-03-19,8.740000,8.740000,7.860000,8.300000,5.202597,1853000
2001-03-26,8.400000,9.300000,8.400000,9.020000,5.653906,805260
2001-04-02,9.100000,9.420000,8.600000,9.200000,5.766733,625365
2001-04-09,9.100000,9.200000,8.500000,8.502000,5.329214,333260
2001-04-16,8.500000,9.190000,8.400000,8.500000,5.327961,405290
2001-04-23,8.502000,8.796000,8.062000,8.110000,5.083501,1155755
2001-04-30,8.200000,8.780000,8.100000,8.104000,5.079740,811825
2001-05-07,8.280000,8.460000,8.146000,8.400000,5.265279,518285
2001-05-14,8.300000,8.494000,7.902000,8.298000,5.201343,1141845
2001-05-21,8.298000,8.436000,7.980000,8.270000,5.183793,349280
2001-05-28,8.440000,8.574000,8.210000,8.220000,5.152452,606905
2001-06-04,8.230000,8.978000,8.230000,8.618000,5.401925,432375
2001-06-11,8.620000,8.670000,8.300000,8.480000,5.315425,649630
2001-06-18,8.478000,8.532000,8.020000,8.150000,5.108573,808275
2001-06-25,8.200000,8.490000,7.980000,7.980000,5.002015,789240
2001-07-02,8.100000,8.876000,8.042000,8.806000,5.519767,745830
2001-07-09,8.800000,9.000000,8.600000,8.824000,5.531050,863905
2001-07-16,8.830000,9.040000,8.800000,9.000000,5.641370,547315
2001-07-23,8.972000,9.220000,8.950000,9.000000,5.641370,879670
2001-07-30,8.930000,9.250000,8.930000,8.930000,5.597492,539985
2001-08-06,8.920000,9.500000,8.920000,9.500000,5.954780,624415
2001-08-13,9.440000,9.580000,9.090000,9.090000,5.697783,408305
2001-08-20,9.198000,9.500000,9.060000,9.458000,5.928452,591250
2001-08-27,9.356000,9.400000,9.040000,9.214000,5.775509,455445
2001-09-03,9.200000,9.250000,9.040000,9.150000,5.735393,901500
2001-09-10,9.160000,9.160000,8.230000,8.400000,5.265279,723225
2001-09-17,8.200000,9.000000,8.020000,8.150000,5.108573,1907580
2001-09-24,8.130000,9.480000,8.130000,9.300000,5.829416,999945
2001-10-01,9.300000,9.560000,9.102000,9.300000,5.829416,819620
2001-10-08,9.198000,9.560000,8.902000,9.404000,5.894604,516955
2001-10-15,9.478000,9.478000,9.100000,9.134000,5.830691,496050
2001-10-22,9.136000,9.528000,9.120000,9.140000,5.834522,587385
2001-10-29,9.200000,9.500000,9.020000,9.354000,5.971130,503965
2001-11-05,9.200000,9.700000,9.200000,9.518000,6.075818,701160
2001-11-12,9.518000,9.700000,9.300000,9.560000,6.102630,761895
2001-11-19,9.600000,9.720000,9.312000,9.356000,5.972407,361140
2001-11-26,9.320000,9.720000,9.200000,9.720000,6.204767,727465
2001-12-03,9.600000,9.780000,9.500000,9.700000,6.191998,736580
