Date,Open,High,Low,Close,Adj Close,Volume
2002-05-13,7.550000,8.100000,7.550000,7.980000,3.269684,520800
2002-05-20,8.390000,9.350000,8.250000,9.100000,3.728588,513083
2002-05-27,9.100000,9.100000,8.530000,8.650000,3.544206,157383
2002-06-03,8.690000,9.200000,8.600000,9.050000,3.708102,424375
2002-06-10,9.000000,9.080000,8.000000,8.010000,3.281977,292342
2002-06-17,8.100000,8.550000,7.610000,7.880000,3.228710,129832
2002-06-24,7.900000,7.900000,6.000000,7.350000,3.011551,421850
2002-07-01,7.480000,7.500000,7.250000,7.450000,3.052524,98700
2002-07-08,7.500000,7.500000,6.900000,7.200000,2.950091,73308
2002-07-15,7.240000,7.500000,6.980000,7.350000,3.011551,55809
2002-07-22,7.350000,7.350000,6.400000,6.640000,2.720639,148080
2002-07-29,6.450000,6.850000,6.450000,6.800000,2.786197,52101
2002-08-05,6.740000,7.300000,6.500000,7.100000,2.909117,208782
2002-08-12,7.290000,7.290000,6.900000,7.000000,2.868144,70725
2002-08-19,7.110000,7.200000,6.850000,7.100000,2.909117,91033
2002-08-26,7.100000,7.100000,6.850000,6.950000,2.847657,70504
2002-09-02,7.000000,7.100000,6.450000,6.600000,2.704250,51946
2002-09-09,6.650000,6.650000,5.550000,5.700000,2.517949,204383
2002-09-16,5.800000,5.870000,5.200000,5.400000,2.385425,229793
2002-09-23,5.500000,5.600000,5.200000,5.360000,2.367755,85205
2002-09-30,5.400000,5.490000,5.100000,5.150000,2.274989,87887
2002-10-07,5.290000,5.500000,5.100000,5.290000,2.336833,187796
2002-10-14,5.500000,5.700000,5.150000,5.600000,2.473774,132917
2002-10-21,5.700000,6.950000,5.700000,6.400000,2.827170,137997
2002-10-28,6.600000,6.750000,6.210000,6.250000,2.760909,64073
2002-11-04,6.400000,6.700000,5.900000,5.950000,2.628385,169865
2002-11-11,6.100000,6.100000,5.890000,5.910000,2.610715,68708
2002-11-18,6.000000,6.100000,5.890000,6.100000,2.694647,78122
2002-11-25,6.000000,6.640000,6.000000,6.550000,2.893432,148737
2002-12-02,6.590000,6.850000,6.000000,6.000000,2.650473,311839
2002-12-09,6.000000,6.050000,5.800000,5.800000,2.562124,332665
2002-12-16,5.800000,5.970000,5.510000,5.750000,2.540036,148169
2002-12-23,5.750000,6.020000,5.750000,5.890000,2.601880,47206
2002-12-30,5.920000,5.990000,5.800000,5.890000,2.601880,45866
2003-01-06,5.900000,5.900000,5.750000,5.750000,2.540036,74523
2003-01-13,5.850000,5.900000,5.660000,5.700000,2.517949,73914
2003-01-20,5.700000,5.700000,5.310000,5.380000,2.376590,608489
2003-01-27,5.350000,5.500000,5.320000,5.470000,2.416348,260001
2003-02-03,5.490000,5.590000,5.300000,5.420000,2.394260,204909
2003-02-10,5.600000,5.600000,5.260000,5.400000,2.385425,161902
2003-02-17,5.450000,5.500000,5.300000,5.470000,2.416348,296909
2003-02-24,5.450000,5.490000,5.100000,5.100000,2.252902,106052
2003-03-03,5.350000,5.430000,5.110000,5.200000,2.297076,260179
2003-03-10,5.200000,5.380000,5.000000,5.300000,2.341250,120165
2003-03-17,5.450000,5.600000,5.200000,5.600000,2.473774,255608
2003-03-24,5.640000,5.930000,5.500000,5.800000,2.562124,256909
2003-03-31,5.850000,5.940000,5.700000,5.900000,2.606297,183066
2003-04-07,5.950000,6.290000,5.890000,6.100000,2.694647,338533
2003-04-14,6.150000,6.150000,5.950000,5.950000,2.628385,164528
2003-04-21,5.950000,6.450000,5.900000,6.300000,2.782996,250997
2003-04-28,6.300000,6.700000,6.250000,6.600000,2.915519,84367
2003-05-05,6.650000,6.970000,6.550000,6.810000,3.008287,177597
2003-05-12,6.900000,6.950000,6.800000,6.930000,3.061295,135197
2003-05-19,6.950000,7.100000,6.900000,7.050000,3.114305,203633
2003-05-26,7.000000,7.400000,6.950000,7.400000,3.268916,106553
2003-06-02,7.450000,7.650000,7.400000,7.520000,3.321925,209985
2003-06-09,7.700000,7.750000,7.450000,7.680000,3.392605,76205
2003-06-16,7.600000,7.850000,7.600000,7.700000,3.401440,173412
2003-06-23,7.700000,7.840000,7.450000,7.500000,3.313091,129785
2003-06-30,7.520000,7.750000,7.500000,7.580000,3.348430,293609
2003-07-07,7.600000,7.850000,7.600000,7.800000,3.445614,319825
2003-07-14,7.700000,7.850000,7.600000,7.700000,3.401440,86143
2003-07-21,7.640000,7.700000,7.530000,7.680000,3.392605,51208
2003-07-28,7.680000,7.740000,7.530000,7.550000,3.335179,69116
2003-08-04,7.580000,8.150000,7.560000,7.890000,3.485371,331979
2003-08-11,7.890000,7.950000,7.760000,7.760000,3.427944,146162
2003-08-18,7.890000,8.250000,7.810000,8.250000,3.644400,209121
2003-08-25,8.250000,8.800000,8.250000,8.750000,3.865272,183607
2003-09-01,8.750000,8.900000,8.400000,8.790000,3.882942,217351
2003-09-08,8.600000,10.230000,8.600000,9.000000,3.975708,590461
2003-09-15,9.000000,9.700000,8.800000,9.490000,4.192164,254475
2003-09-22,9.490000,9.500000,9.000000,9.250000,4.086145,115587
2003-09-29,9.250000,9.300000,8.300000,8.850000,3.909447,312306
2003-10-06,8.750000,8.900000,8.500000,8.700000,4.067932,140151
2003-10-13,8.700000,8.750000,8.550000,8.670000,4.053905,140873
2003-10-20,8.610000,9.180000,8.600000,8.900000,4.161448,227828
2003-10-27,8.950000,9.550000,8.820000,9.430000,4.409265,282844
2003-11-03,9.490000,9.650000,8.700000,8.800000,4.114691,247936
2003-11-10,8.850000,9.100000,8.710000,9.090000,4.250289,155735
2003-11-17,9.000000,9.200000,8.800000,9.180000,4.292371,204661
2003-11-24,9.010000,9.410000,9.000000,9.320000,4.357831,347024
2003-12-01,9.250000,9.400000,8.710000,9.400000,4.395238,283415
2003-12-08,9.400000,9.400000,8.800000,9.000000,4.208206,195668
2003-12-15,9.100000,9.380000,9.100000,9.100000,4.254964,142907
2003-12-22,9.280000,9.380000,9.160000,9.300000,4.348478,43109
2003-12-29,9.380000,9.420000,9.300000,9.420000,4.404589,102447
2004-01-05,9.450000,9.980000,9.450000,9.850000,4.605649,510016
2004-01-12,9.800000,10.250000,9.780000,10.100000,4.722543,270411
