Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.980000,3.980000,3.565000,3.780000,2.201298,10144200
2000-01-10,3.820000,3.820000,3.632000,3.700000,2.154710,6842950
2000-01-17,3.725000,3.725000,3.500000,3.500000,2.038239,14740150
2000-01-24,3.500000,3.520000,3.200000,3.248000,1.891486,20049050
2000-01-31,3.220000,3.675000,3.150000,3.625000,2.111033,24849150
2000-02-07,3.700000,3.710000,3.331000,3.550000,2.067356,16826050
2000-02-14,3.538000,3.650000,3.400000,3.540000,2.061533,15286100
2000-02-21,3.450000,3.550000,3.282000,3.410000,1.985827,17532900
2000-02-28,3.400000,3.475000,3.302000,3.350000,1.950886,14478300
2000-03-06,3.375000,3.375000,2.990000,3.050000,1.776180,26464250
2000-03-13,3.120000,3.600000,2.985000,3.450000,2.009121,28640850
2000-03-20,3.460000,3.544000,3.260000,3.540000,2.061533,12007250
2000-03-27,3.545000,3.640000,3.340000,3.620000,2.108121,11858050
2000-04-03,3.620000,3.670000,3.371000,3.560000,2.073180,8099650
2000-04-10,3.490000,3.790000,3.416000,3.652000,2.126756,7594750
2000-04-17,3.594000,3.695000,3.520000,3.600000,2.096473,3940150
2000-04-24,3.600000,3.650000,3.483000,3.490000,2.032415,3557450
2000-05-01,3.490000,3.750000,3.490000,3.600000,2.096473,4949150
2000-05-08,3.600000,4.035000,3.550000,4.000000,2.329416,16814300
2000-05-15,4.025000,4.048000,3.950000,4.003000,2.331163,8670650
2000-05-22,4.010000,4.050000,3.610000,3.752000,2.184992,6038750
2000-05-29,3.850000,3.899000,3.765000,3.860000,2.322596,2824300
2000-06-05,3.900000,3.980000,3.861000,3.950000,2.376750,7076350
2000-06-12,3.950000,4.000000,3.865000,3.950000,2.376750,5846600
2000-06-19,3.950000,3.998000,3.821000,3.895000,2.343657,5829900
2000-06-26,3.894000,3.900000,3.770000,3.799000,2.285892,6389300
2000-07-03,3.805000,3.835000,3.700000,3.700000,2.226323,7793200
2000-07-10,3.689000,4.190000,3.670000,4.115000,2.476032,13804350
2000-07-17,4.100000,4.140000,3.951000,4.020000,2.418870,5636700
2000-07-24,4.020000,4.020000,3.800000,3.945000,2.373742,3686050
2000-07-31,3.945000,4.015000,3.850000,4.015000,2.415861,5156150
2000-08-07,4.015000,4.120000,3.940000,4.100000,2.467007,4805900
2000-08-14,4.045000,4.150000,3.982000,3.992000,2.402022,4620100
2000-08-21,4.000000,4.099000,3.960000,3.985000,2.397810,2450000
2000-08-28,3.960000,4.000000,3.850000,3.900000,2.346665,6552650
2000-09-04,3.995000,3.995000,3.784000,3.898000,2.345462,5115000
2000-09-11,3.811000,4.125000,3.780000,4.040000,2.430904,16789150
2000-09-18,4.000000,4.000000,3.820000,3.920000,2.358699,13752950
2000-09-25,3.920000,4.020000,3.864000,3.987000,2.399014,7784500
2000-10-02,4.015000,4.025000,3.970000,3.970000,2.388785,4670400
2000-10-09,3.950000,4.010000,3.810000,3.879000,2.334029,5721850
2000-10-16,3.880000,3.965000,3.850000,3.920000,2.358699,8569450
2000-10-23,3.920000,3.938000,3.751000,3.880000,2.334631,7014550
2000-10-30,3.810000,4.200000,3.810000,4.175000,2.512135,5841800
2000-11-06,4.150000,4.200000,4.025000,4.100000,2.467007,6460850
2000-11-13,4.100000,4.150000,4.021000,4.140000,2.491074,4029350
2000-11-20,4.105000,4.150000,4.010000,4.053000,2.438726,7271400
2000-11-27,4.098000,4.120000,3.900000,4.050000,2.436921,6140700
2000-12-04,4.050000,4.148000,3.700000,3.895000,2.343657,34331700
2000-12-11,3.880000,3.995000,3.827000,3.900000,2.346665,14698550
2000-12-18,3.811000,4.030000,3.800000,3.980000,2.394801,8042950
2000-12-25,3.980000,4.002000,3.890000,4.000000,2.406836,3666300
2001-01-01,4.000000,4.117000,3.875000,4.082000,2.456176,7566000
2001-01-08,4.049000,4.110000,4.000000,4.061000,2.443540,10770450
2001-01-15,4.030000,4.080000,3.940000,4.000000,2.406836,6604700
2001-01-22,4.030000,4.030000,3.905000,3.961000,2.383369,3490250
2001-01-29,3.955000,4.010000,3.825000,4.010000,2.412853,9578000
2001-02-05,4.052000,4.090000,3.963000,4.015000,2.415861,10147150
2001-02-12,4.025000,4.294000,3.980000,4.240000,2.551246,23668100
2001-02-19,4.280000,4.409000,4.211000,4.350000,2.617434,27591400
2001-02-26,4.360000,4.420000,4.321000,4.395000,2.644511,22508350
2001-03-05,4.400000,4.470000,4.351000,4.425000,2.662562,12115200
2001-03-12,4.391000,4.440000,4.220000,4.370000,2.629468,12670500
2001-03-19,4.370000,4.370000,4.180000,4.275000,2.572306,17791800
2001-03-26,4.288000,4.384000,4.260000,4.369000,2.628866,12752350
2001-04-02,4.370000,4.490000,4.339000,4.470000,2.689639,8987350
2001-04-09,4.489000,4.500000,4.460000,4.500000,2.707690,6615800
