 	XR	XK
0	1.000.000	1.000.000
1	999.539	999.153
2	999.077	998.303
3	998.614	997.451
4	998.148	996.596
5	997.681	995.737
6	997.211	994.874
7	996.738	994.007
8	996.263	993.136
9	995.785	992.258
10	995.303	991.375
11	994.818	990.484
12	994.328	989.586
13	993.833	988.679
14	993.333	987.763
15	992.827	986.836
16	992.315	985.897
17	991.796	984.945
18	991.268	983.979
19	990.732	982.996
20	990.187	981.995
21	989.630	980.974
22	989.062	979.931
23	988.481	978.863
24	987.885	977.768
25	987.273	976.642
26	986.643	975.483
27	985.994	974.286
28	985.323	973.049
29	984.628	971.765
30	983.907	970.431
31	983.156	969.041
32	982.374	967.589
33	981.555	966.069
34	980.698	964.472
35	979.797	962.792
36	978.847	961.019
37	977.845	959.143
38	976.785	957.154
39	975.660	955.039
40	974.463	952.787
41	973.188	950.382
42	971.827	947.808
43	970.369	945.048
44	968.807	942.084
45	967.127	938.894
46	965.320	935.455
47	963.371	931.742
48	961.267	927.728
49	958.991	923.382
50	956.526	918.673
51	953.853	913.565
52	950.952	908.019
53	947.800	901.994
54	944.372	895.445
55	940.640	888.324
56	936.576	880.578
57	932.147	872.153
58	927.318	862.990
59	922.052	853.027
60	916.308	842.198
61	910.041	830.436
62	903.205	817.670
63	895.749	803.829
64	887.618	788.839
65	878.756	772.629
66	869.101	755.129
67	858.590	736.271
68	847.155	715.996
69	834.729	694.252
70	821.240	670.997
71	806.618	646.205
72	790.789	619.869
73	773.685	592.004
74	755.239	562.652
75	735.388	531.885
76	714.079	499.814
77	691.267	466.586
78	666.920	432.395
79	641.024	397.476
80	613.585	362.112
81	584.633	326.628
82	554.227	291.389
83	522.461	256.792
84	489.465	223.253
85	455.409	191.193
86	420.506	161.023
87	385.017	133.118
88	349.244	107.802
89	313.531	85.320
90	278.256	65.824
91	243.827	49.360
92	210.661	35.861
93	179.175	25.150
94	149.766	16.958
95	122.787	10.942
96	98.527	6.723
97	77.194	3.910
98	58.893	2.139
99	43.620	1.093
100	31.260	517
101	21.595	224
102	14.319	89
103	9.071	31
104	5.461	10
105	3.106	3
106	1.658	1
107	825	0
108	379	0
109	160	0
110	61	0
111	21	0
112	6	0
113	2	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
